f_mysql_total_ts_nrows,f_MySQLCost,f_count_all_base_tables,f_count_ref_index_ts,f_BaseTableSumNrows,f_are_all_ts_index_ref,table_count,has_having,has_group_by,has_rollup,has_order_by,has_limit,has_join,has_subquery,has_aggregation,select_list_size,where_condition_count,estimated_rows,IS_OLAP
6001215,1100232.75,1,0,6001215,0,1,0,1,0,1,0,0,0,1,10,1,6001.215,1
7651215,1402732.75,3,0,7651215,0,3,0,1,0,1,1,1,0,1,4,5,10.0,1
7661245,1404571.583333,6,0,7661245,0,6,0,1,0,1,0,1,0,1,2,6,7661.245,1
6001215,1100222.75,1,0,6001215,0,1,0,0,0,0,0,0,0,1,1,4,600121.5,1
8511240,1560404.0,6,0,8511240,0,6,0,1,0,1,0,1,0,1,3,5,8511.24,1
7651240,1402737.333333,4,0,7651240,0,4,0,1,0,1,1,1,0,1,8,4,20.0,1
7501215,1375232.75,2,0,7501215,0,2,0,1,0,1,0,1,0,1,3,6,7501.215,1
6201215,1136889.416667,2,0,6201215,0,2,0,0,0,0,0,1,0,1,1,3,620121.5,1
8251336.5,2062866.4,3,0,7651215,0,3,0,1,0,1,1,1,1,1,6,1,100.0,1
6201215,1136889.416667,2,0,6201215,0,2,0,0,0,0,0,1,0,1,1,9,620121.5,1
8111361.5,2037204.316667,4,0,7511240,0,4,0,1,0,1,1,1,1,1,2,5,100.0,1
1665000.0,319010.0,2,0,1650000,0,2,0,1,0,1,0,1,1,1,3,3,1650.0,1
0.0,1.1,1,1,10000000,1,1,0,0,0,0,0,0,0,0,1,1,1000000.0,0
0.0,110.0,1,1,10000000,1,1,0,0,0,0,0,0,0,0,1,2,1000000.0,0
0.0,110.0,1,1,10000000,1,1,0,0,0,0,0,0,0,1,1,2,1000000.0,0
0.0,120.0,1,1,10000000,1,1,0,0,0,1,0,0,0,0,1,2,1000000.0,0
0.0,120.0,1,1,10000000,1,1,0,1,0,1,0,0,0,1,1,2,10000.0,0
0.0,1.1,1,1,4200000.0,1,1,0,0,0,0,1,0,0,0,9,1,1.0,0
0.0,57.5,2,2,84200000.0,1,2,0,0,0,1,1,1,0,0,12,2,25.0,0
0.0,7.7,1,1,11000000.0,1,1,0,0,0,0,0,0,0,1,1,1,1100000.0,0
80120000.0,14688703.166667,2,0,80120000.0,0,2,0,1,0,1,0,1,0,1,5,2,80120.0,1
300000000.0,55000500.0,1,0,300000000.0,0,1,1,1,1,1,0,0,0,1,7,3,300000.0,1
