f_mysql_total_ts_nrows,f_MySQLCost,f_count_all_base_tables,f_count_ref_index_ts,f_BaseTableSumNrows,f_are_all_ts_index_ref,table_count,has_having,has_group_by,has_rollup,has_order_by,has_limit,has_join,has_subquery,has_aggregation,select_list_size,where_condition_count,estimated_rows,IS_OLAP
538.0,101.233333,1,0,538.0,0,1,1,1,0,1,0,0,0,1,15,0,5.38,0
0.0,1258.3,1,1,12743682.0,1,1,0,0,0,1,1,0,0,0,6,1,10.0,0
0.0,2026.0,4,4,37358306.0,1,4,0,0,0,1,1,1,0,0,4,1,20.0,0
126284097.0,40646.333333,6,4,126284097.0,0,6,0,0,0,1,0,1,0,0,3,3,12628409.7,0
0.0,22.5,4,4,1070563954.0,1,4,0,0,0,1,0,1,0,0,11,6,107056395.4,0
0.0,29.75,1,1,105.0,1,1,0,1,0,1,1,0,0,1,10,3,0.105,0
0.0,1.2,1,1,71371068.0,1,1,0,0,0,1,1,0,0,0,14,4,100.0,0
60597769.0,11109590.983333,1,0,60597769.0,0,1,1,1,0,0,0,0,0,1,24,4,60597.769,1
0.0,1128259242.0,5,5,205138044.0,1,5,0,0,0,1,1,1,0,0,16,1,20.0,0
0.0,3.3,1,1,132190.0,1,1,0,0,0,0,0,0,0,1,2,3,13219.0,0
0.0,26933.5,1,1,24485.0,1,1,0,0,0,1,1,0,0,0,15,1,20.0,1
7041800.0,938906.666667,1,0,7041800.0,0,1,0,0,0,0,0,0,0,0,12,3,704180.0,1
0.0,34.1,1,1,5135832.0,1,1,0,0,0,0,1,0,0,0,12,1,20.0,0
54963.7,60988.07,1,1,4274963.0,1,1,0,0,0,0,0,0,1,0,5,2,427496.3,0
0.0,292.5,4,4,191215429.0,1,4,0,0,0,1,1,1,0,0,5,4,100.0,0
0.0,95094382.9,1,1,86449439.0,1,1,0,0,0,0,1,0,0,0,3,4,50.0,0
6493483.0,10480028.683333,1,0,3115463.0,0,2,0,1,0,1,1,1,1,1,3,5,100.0,1
180687446.0,28416592.301339,1,0,180687446.0,0,1,0,0,0,1,0,0,0,0,20,4,18068744.6,1
0.0,509117.4,1,1,462834.0,1,1,0,0,0,0,0,0,0,1,3,1,46283.4,0
0.0,151358.9,1,1,137599.0,1,1,0,1,0,0,0,0,0,1,2,1,137.599,0
264260947.0,48449980.683333,1,0,264260947.0,0,1,1,1,0,1,0,0,0,1,17,4,264260.947,1
2051.0,397.116667,2,1,2051.0,0,2,0,1,0,1,1,1,0,1,3,1,2.051,1
83846219.0,11179495.866667,1,0,83846219.0,0,1,0,0,0,0,0,0,0,0,35,4,8384621.9,0
0.0,2079.0,5,5,4226968.0,1,5,0,0,0,0,0,1,0,0,8,4,422696.8,0
467159621.0,85645930.916667,1,0,467159621.0,0,1,0,1,0,1,1,0,0,1,3,5,10.0,1
0.0,1.1,1,1,182290336.0,1,1,0,0,0,0,0,0,0,0,1,1,18229033.6,0
10633832.0,1386731.2,4,3,10633832.0,0,4,0,0,0,0,1,1,0,0,22,3,100.0,1
0.0,549453377.0,1,1,499503070.0,1,1,0,0,0,1,0,0,0,0,14,4,49950307.0,1
18233.0,3342.816667,4,1,18233.0,0,4,0,1,0,1,1,1,0,1,6,3,10.0,1
16745830.0,3070068.833333,1,0,16745830.0,0,1,0,0,0,0,0,0,0,1,14,5,1674583.0,1
17722555.0,2108726.5,4,3,17722555.0,0,4,0,0,0,1,1,1,0,0,11,2,10.0,1
0.0,2.3,2,2,4098371.0,1,2,0,0,0,1,1,1,0,0,15,1,100.0,0
42713137.0,7833478.483333,8,3,42713137.0,0,8,1,1,0,1,0,1,0,1,17,3,42713.137,1
0.0,9.6,1,1,84045333.0,1,1,0,0,0,1,1,0,0,0,5,4,200.0,0
57260870.0,7971136.616667,3,2,57260870.0,0,3,0,1,0,0,1,1,0,1,3,6,100.0,1
0.0,1410.1,1,1,82951975.0,1,1,0,0,0,1,1,0,0,0,4,2,10.0,0
761.0,140.616667,1,0,761.0,0,1,0,1,0,1,0,0,0,1,15,0,7.61,0
5719693.0,780497.933333,1,0,5719693.0,0,1,0,0,0,1,1,0,0,0,17,4,10.0,1
0.0,1772151216.0,3,3,537015520.0,1,3,0,0,0,1,1,1,0,0,4,5,50.0,0
203438592.0,35681649.983333,6,3,203438592.0,0,6,1,1,0,1,1,1,0,1,6,5,100.0,1
0.0,108.1,2,2,140223526.0,1,2,0,1,0,1,1,1,0,1,17,3,50.0,0
0.0,13.2,1,1,48984.0,1,1,0,0,0,1,0,0,0,0,3,3,4898.4,0
0.0,1443.2,1,1,96423.0,1,1,0,0,0,0,1,0,0,0,6,2,50.0,1
72634312.0,89607989.033333,1,0,3284324.0,0,1,0,1,0,1,0,0,1,1,20,4,3284.324,1
0.0,221.7,1,1,20509535.0,1,1,0,0,0,1,1,0,0,0,13,2,50.0,0
51484.0,9438.733333,4,3,51484.0,0,4,0,1,0,0,0,1,0,1,9,3,51.484,1
0.0,2978.8,4,4,1308916175.0,1,4,0,0,0,0,1,1,0,0,12,2,50.0,0
14545187.0,2666618.616667,7,2,14545187.0,0,7,0,1,0,1,1,1,0,1,28,2,10.0,1
10951009.0,688227.033333,2,1,10951009.0,0,2,0,0,0,1,1,1,0,0,11,6,1000.0,1
8569144.0,1142552.533333,1,0,8569144.0,0,1,0,0,0,0,0,0,0,0,35,4,856914.4,0
71258685.0,9501158.0,1,0,71258685.0,0,1,0,0,0,0,0,0,0,0,39,1,7125868.5,0
0.0,6.6,2,2,546315.0,1,2,0,0,0,0,1,1,0,0,8,4,20.0,0
377772951.0,69258375.35,4,0,377772951.0,0,4,0,1,0,1,1,1,0,1,19,1,10.0,1
27331555.8,7690332.43,1,0,26357175.0,0,1,1,1,0,0,1,0,1,1,3,3,100.0,1
0.0,1.1,1,1,1580.0,1,1,0,0,0,0,0,0,0,0,8,2,158.0,0
0.0,485233.1,1,1,441121.0,1,1,0,0,0,0,1,0,0,0,1,1,1.0,0
0.0,1.1,1,1,249825.0,1,1,0,0,0,0,0,0,0,0,12,1,24982.5,0
0.0,277.1,1,1,228604.0,1,1,0,0,0,1,1,0,0,0,14,3,10.0,0
0.0,4.6,2,2,1308714.0,1,2,0,0,0,1,0,1,0,0,18,4,130871.4,0
0.0,92523.2,1,1,84112.0,1,1,0,0,0,1,1,0,0,0,9,5,100.0,1
21674063.0,3897.4,3,2,21674063.0,0,3,0,0,0,1,1,1,0,0,21,7,10.0,0
32291762.0,4305568.266667,1,0,32291762.0,0,1,0,0,0,0,0,0,0,0,11,2,3229176.2,1
0.0,92.4,2,2,105925695.0,1,2,0,0,0,0,1,1,0,0,13,1,100.0,0
14020354.0,2570422.733333,1,0,14020354.0,0,1,0,1,1,1,1,0,0,1,21,2,10.0,1
87757418.6,39310524.476667,1,0,79313177.0,0,1,0,1,0,0,1,0,1,1,12,1,100.0,1
0.0,1.1,1,1,1492586.0,1,1,0,0,0,0,0,0,0,0,1,1,149258.6,0
47623118.0,8730919.666667,1,0,47623118.0,0,1,0,1,0,1,1,0,0,1,8,4,100.0,1
386127.8,426678.78,1,1,3699760.0,1,1,0,0,0,0,1,0,1,0,7,3,100.0,0
1562.0,296.966667,2,1,1562.0,0,2,0,1,0,1,1,1,0,1,7,1,1.562,1
132909.0,24366.65,1,0,132909.0,0,1,0,0,0,0,1,0,0,1,14,0,10.0,1
992335.0,30647.65,3,2,992335.0,0,3,1,1,0,0,0,1,0,1,5,7,992.335,1
295472875.0,53296042.683333,6,3,295472875.0,0,6,1,1,0,1,1,1,0,1,9,3,1000.0,1
0.0,2420268.4,1,1,2200244.0,1,1,0,0,0,0,1,0,0,0,5,2,1.0,0
0.0,1578.3,1,1,228764.0,1,1,0,0,0,1,1,0,0,0,2,4,20.0,1
0.0,89.1,3,3,8702420.0,1,3,0,0,0,0,1,1,0,0,12,3,100.0,0
